,Squirrel
CNBA01,2
CNBA02,0
CNBA03,25
CNBA04,19
CNBA05,40
CNBA06,10
CNBA07,20
CNBA08,6
CNBE01,2
CNBE02,12
CNBE03,46
CNBE04,737
CNBE05,39
CNBE06,14
CNBE07,31
CNBE08,2
CNCA01,64
CNCA02,41
CNCA03,43
CNCA04,3
CNCA05,0
CNDE01,0
CNDE02,18
CNEA01,0
CNHE01,19
CNHE02,0
CNHE03,11
CNIR01,0
CNIR02,0
CNIR03,3
CNIR04,0
CNMA01,0
CNMA02,0
CNMA03,0
CNMA04,12
CNMI01,0
CNMI02,0
CNMI03,0
CNMI04,0
CNMI05,0
CNMI06,21
CNNO01,0
CNNO02,1
CNOA01,2
CNOA02,0
CNOA03,0
CNOA04,0
CNOA05,0
CNOA06,1
CNOA07,0
CNOA08,6
CNOA09,0
CNOA10,1
CNOA11,0
CNOA12,0
CNOA13,2
CNOA14,4
CNOA15,1
CNOA16,2
CNOT01,4
CNOT02,1
CNOT03,3
CNOT04,0
CNOT05,0
CNOT06,0
CNOT07,0
CNOU01,0
CNOU02,0
CNOU03,0
CNOU04,0
CNOU05,0
CNOU06,1
CNOU07,1
CNOU08,0
CNOU09,1
CNOU10,0
CNOU11,0
CNOU12,0
CNOU13,0
CNOU14,0
CNOU15,0
CNOU16,23
CNOU17,11
CNOU18,1
CNOU19,127
CNOU20,16
CNOU21,11
CNOU22,1
CNOU24,37
CNOU25,2
CNOU26,0
CNOU27,0
CNOU28,2
CNOU29,1
CNRA01,41
CNRA02,285
CNRO01,2
CNRO02,13
CNRO03,2
CNRO04,12
CNRO05,5
CNRO06,25
CNSA01,1
CNSA02,2
CNSA03,41
CNSA04,0
CNSA05,0
CNSA06,0
CNSA07,0
CNSA08,14
CNSA09,0
CNSA10,2
CNSA11,0
CNSA12,0
CNSO01,1
CNSO02,0
CNSTC09,0
CNSTC10,0
CNSTC12,0
CNSTD05,0
CNSTD06,0
CNSTD07,0
CNSTD08,0
CNSTD09,0
CNSTD10,0
CNSTD11,0
CNSTE03,0
CNSTE04,0
CNSTE05,0
CNSTE06,0
CNSTE07,0
CNSTE08,0
CNSTE10,0
CNSTF02,0
CNSTF03,0
CNSTF04,0
CNSTF05,0
CNSTF07,0
CNSTF09,0
CNSTG02,0
CNSTG03,0
CNSTG04,0
CNSTG06,0
CNSTG07,0
CNSTG09,0
CNSTH04,0
CNYO01,0
CNYO02,0
CNOU23,0
ST1,0
ST2,0
ST3,0
ST4,0
ST5,0
ST6,0
