GRID,ELE,LAT,LONG
E06,2315,32.62828827,104.65464
U05,1960,32.6360817,104.82464
V08,1748,32.61434937,104.83356
P15,1810,32.55353165,104.77415
J11,2010,32.58385086,104.70971
Y06,2113,32.62979889,104.86301
R14,1695,32.55966187,104.79223
R05,3033,32.64688873,104.79091
U04,2195,32.64810944,104.82299
F04,2499,32.64733887,104.66916
G03,2647,32.65589142,104.67801
G05,2359,32.64379883,104.67404
P08,1920,32.61169052,104.77082
O13,1400,32.56822968,104.76383
R10,1825,32.59218979,104.79801
O08,1965,32.61544037,104.76491
X10,1830,32.5974884,104.85231
Q11,1730,32.586689,104.78123
P10,1960,32.59592819,104.77076
X06,2312,32.63201141,104.85622
Y07,2278,32.62213135,104.86692
T05,2168,32.64117813,104.81399
V05,1951,32.63721848,104.82901
G09,1856,32.60427094,104.67924
L11,1631,32.58583832,104.73709
S13,1440,32.57270813,104.79899
W07,1720,32.62292099,104.84307
O12,1509,32.57975006,104.75974
R12,1630,32.57424164,104.79682
K07,2290,32.62218094,104.7171
Q13,1390,32.57030869,104.7867
X09,1910,32.60850906,104.85302
I09,1840,32.60097885,104.69982
W10,1800,32.59450912,104.85093
E08,2560,32.60911179,104.65792
W11,1618,32.59180069,104.84391
U15,1303,32.54975891,104.81936
K11,1700,32.59540176,104.72187
T15,1350,32.54626846,104.8184
R15,1740,32.55149078,104.79578
S14,1640,32.56657028,104.79111
S10,1930,32.59281158,104.79879
H12,2389,32.57780838,104.68598
L09,1720,32.60462189,104.72813
Q07,2170,32.62279129,104.78523
O11,1560,32.58383179,104.75691
V11,1431,32.58430862,104.83621
K08,2040,32.61357117,104.71738
W08,1872,32.61400986,104.84601
K10,1610,32.59542084,104.71781
P09,1815,32.60541916,104.77335
W13,1298,32.56465149,104.84316
M11,1675,32.58261871,104.74047
M14,1832,32.56034088,104.74209
J07,2060,32.62263107,104.70665
P11,1442,32.58612823,104.77416
U13,1621,32.56892014,104.82431
P14,1880,32.55965042,104.77109
U07,1867,32.62281036,104.82451
U08,1671,32.61397171,104.82435
M10,1611,32.59109116,104.74003
V14,1331,32.55475998,104.83311
P06,2570,32.63430023,104.77624
V06,1802,32.63600922,104.83291
X08,1773,32.6111908,104.85492
V07,1800,32.62012863,104.83925
N13,2070,32.56830978,104.74972
E09,2180,32.60531998,104.65143
V09,1600,32.60485077,104.8347
H10,2000,32.59540939,104.68546
W09,2100,32.60466003,104.84506
O15,1644,32.54999924,104.76013
X07,1867,32.62284851,104.85643
H09,1920,32.60432053,104.6852
M12,1720,32.57939911,104.73839
N14,1730,32.56235123,104.75012
J06,2290,32.62934875,104.70413
W05,2370,32.64023972,104.84615
V10,1792,32.59592056,104.83495
V13,1450,32.56872177,104.83495
Q09,1685,32.60282898,104.77619
V12,1400,32.5827713,104.83489
N12,1500,32.57773972,104.74959
Q10,1560,32.5928688,104.7768
U10,1569,32.59595871,104.82487
T14,1591,32.56261826,104.80918
Q05,2560,32.64089966,104.7814
O14,1650,32.55982971,104.76002
Q14,1670,32.55968857,104.78166
W06,1748,32.63130951,104.84107
H11,2120,32.58523178,104.686
I10,1890,32.59933853,104.69643
K09,1880,32.60448074,104.71742
D08,2640,32.61312103,104.64263
U11,1425,32.58623886,104.82562
R07,2120,32.62308884,104.79175
Q12,1550,32.57786942,104.78147
